M, K, mAP, Prec,
1, 25, 0.6801144708243777, 0.6283966884074379,
1, 32, 0.7425600103473183, 0.7108886167565943,
8, 32, 0.7534469263633422, 0.7241677950464381,
1, 8, 0.3742751254695749, 0.24271063096844103,
1, 16, 0.5585433090803688, 0.4714699605012248,
8, 25, 0.7626325948997854, 0.7363945136700556,
2, 256, 0.6740680688956486, 0.7430949681449118,
1, 64, 0.7090455307417307, 0.7144646732176225,
2, 16, 0.5991874210863574, 0.5392545791559306,
2, 8, 0.4516373313979176, 0.350567956805212,
1, 128, 0.6825045462589001, 0.7112198543550928,
2, 32, 0.7689892570821699, 0.7420945638164611,
4, 32, 0.7578052433517755, 0.7108742662770482,
1, 256, 0.664055035908212, 0.7277662783544899,
4, 16, 0.695454417885779, 0.6558243222241722,
16, 256, 0.6796306088724318, 0.7573249166758665,
2, 64, 0.7224411439540447, 0.7280390228675884,
4, 25, 0.7554719573904708, 0.7107230699899351,
2, 128, 0.6893799598632313, 0.7360734046908317,
8, 16, 0.7142889850413525, 0.7032806975632071,
4, 64, 0.720386825907159, 0.7379160131938437,
2, 25, 0.7568269548939844, 0.7238119931137151,
8, 8, 0.618659340697428, 0.5999760636675522,
4, 128, 0.6912628966912426, 0.743242348221084,
4, 8, 0.5928477811126015, 0.5335572533162889,
4, 256, 0.6758473892051349, 0.7498028913632387,
8, 64, 0.7172165975418477, 0.7509459771861633,
8, 128, 0.6927629437704655, 0.7559966805062502,
8, 256, 0.6797171478913051, 0.757627606817787,
16, 8, 0.654082553856849, 0.7043751013999738,
16, 16, 0.713801183478679, 0.7352610954487158,
16, 32, 0.7466816730615516, 0.752037870717136,
16, 25, 0.7473336913355886, 0.7442371711741776,
16, 64, 0.7120388097280654, 0.7579085464057641,
16, 128, 0.6908495977537835, 0.7600439926388616,
