M, K, mAP, Prec,
1, 64, 0.7091529826938532, 0.7450993709253072,
1, 16, 0.6948239965241847, 0.7380089418649889,
4, 8, 0.645368238865418, 0.6961465426556092,
4, 256, 0.6784412719924181, 0.7549377750384605,
4, 128, 0.6919974590263217, 0.7507671825552156,
8, 256, 0.6817763247557973, 0.7597602658580013,
4, 25, 0.7489238470920607, 0.7430287846349927,
8, 32, 0.7461014322994985, 0.7425598140049836,
8, 128, 0.6941094751662138, 0.7601094455441647,
1, 25, 0.7435196143140473, 0.7496952848048847,
16, 25, 0.7407632078983211, 0.7535282051588288,
8, 25, 0.7544717982890546, 0.7547756308485798,
16, 64, 0.7105371683468032, 0.7607365776211427,
1, 32, 0.7460249778924073, 0.7420814914378466,
1, 128, 0.6817411791280665, 0.7321663492085412,
8, 8, 0.6537390961655225, 0.7045719014343355,
16, 8, 0.6678886158542126, 0.7385205746009913,
16, 32, 0.7404890220147984, 0.7576716948127624,
2, 8, 0.6213350753609491, 0.7052399972661338,
8, 16, 0.7143362899853486, 0.7369241591608946,
16, 16, 0.7129041116066095, 0.7519846375976814,
2, 32, 0.7615372708045425, 0.7601733899281063,
4, 16, 0.705253554415784, 0.7258817630014457,
16, 256, 0.6801809090175993, 0.7580118277451596,
